"cnpj_base","ordem","dv","matriz_filial","nome_fantasia","situacao_cadastral","data_situacao_cadastral","motivo_situacao_cadastral","nome_cidade_exterior","pais","data_inicio_atividade","cnae_principal","cnae_secundaria","tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio","ddd1","telefone1","ddd2","telefone2","ddd_fax","fax","correio_eletronico","situacao_especial","data_situacao_especial"
"06021319","0001","80","1","BYMIDIA DESIGN","02",NULL,"00","","","2003-12-02","6311900","6201501,6203100,6204000,6319400,7420001","RUA","WILSON BARBOSA DE MELO","23","PAVMTOTERREO","ATALAIA","49037590","SE","3105","79","33025215","79","81550230","79","32179959","CONTATO@BYMIDIA.COM.BR","",NULL
"07906885","0001","31","1","INSTITUTO EDUCAR","02","2005-12-12","00","","","2005-12-12","8599604","8533300,8542200,8520100,8550302,8599605,8599699,8541400,7490101,7020400,6201501,6204000,6319400,6203100,5911101","RUA","PROF AUDA PIASSA","39","","GRAGERU","49027240","SE","3105","79","30448982","79","81020909","79","32228722","CONTATO@CURSOSEDUCAR.COM.BR","",NULL
"15210439","0001","16","1","ESTRELA","02","2012-03-07","00","","","2012-03-07","8291100","8220200,8219999,6399200,4753900,4761003,9511800,6202300,6203100","RUA","ZAQUEU BRANDAO","82","SALA  106                 TERREOPIO XII             COND  CENTRO MED ODONTOLOG","SAO JOSE","49015330","SE","3105","79","32137709","","","79","32137702","","",NULL
"15494629","0001","02","1","BLUEDATA5","02","2012-05-09","00","","","2012-05-09","6209100","6203100,8599603,8599604","RUA","CARLOS HAMILTON SILVA GOMES","33","","INACIO BARBOSA","49041040","SE","3105","79","32495500","","","","","JEAN@BLUEDATATI.COM.BR","",NULL
"17819084","0001","92","1","PAGCERTO","02","2013-03-21","00","","","2013-03-21","7490104","6201501,6202300,6203100,6319400,6619301,6619302,6619399","RUA","RIACHUELO","1200","","SAO JOSE","49015160","SE","3105","79","88767399","79","98876739","79","32112434","CONTABILIDADE_EMAIL@LOCAWEB.COM.BR","",NULL
"19087653","0001","88","1","TECSIS TECNOLOGIA E SISTEMAS","02","2013-10-16","00","","","2013-10-16","6209100","4751201,4761003,6201501,6202300,6203100,6204000,6311900,7733100,8211300,8219999,8291100,9511800","AVENIDA","MINISTRO GERALDO BARRETO SOBRAL","2100","SALA  1306 CENTRO EMPRESAR","GRAGERU","49027255","SE","3105","79","99402169","79","30222169","","","TECSISAJU@GMAIL.COM","",NULL
"20796174","0001","10","1","NEXTLY SOLUCOES WEB","02","2014-08-07","00","","","2014-08-07","6203100","6201501,6201502,6202300,6204000,6209100,6319400,6399200,8219999,8599603","RUA","RIACHUELO","1200","","SAO JOSE","49015160","SE","3105","79","31422496","","","","","CONTATO@NEXTLY.COM.BR","",NULL
"22388768","0001","17","1","ATOS CAPITAL","02","2015-05-05","00","","","2015-05-05","6201501","6202300,6203100,6209100,6311900,8541400","RUA","DR JOSE ROBERTO RIBEIRO","78","","GRAGERU","49027090","SE","3105","79","30424048","79","99497067","","","ATENDIMENTO@ATOSCAPITAL.COM.BR","",NULL
"19892424","0001","36","1","CURARE GAMES","02","2021-10-01","00","","","2014-03-17","6203100","","RUA","CEL JOSE FIGUEIREDO DE ALBUQUERQUE","534","","ATALAIA","49036180","SE","3105","79","88312276","","","","","HELLO@CURARE.GAMES","",NULL
"08863777","0001","91","1","","02","2007-06-01","00","","","2007-06-01","4649401","4649402,4651601,4652400,4673700,6202300,6203100,7490199,9512600,9521500","RUA","FILEMON FRANCO FREIRE","55","","PONTO NOVO","49047180","SE","3105","79","32322870","","","","","ANGELA@EUROTECHDISTRIBUIDORA.COM.BR","",NULL
